table_name,column_name,confidence,description
agg_ab_readout,event_date,high,Calendar date on which experiment exposure and performance metrics were measured.
agg_ab_readout,experiment_id,high,Unique identifier for the A/B experiment associated with the readout.
agg_ab_readout,variant_id,high,Unique identifier for the experiment variant represented in the readout.
agg_ab_readout,experiment_name,high,Human-readable name used to identify the experiment for analysis and reporting.
agg_ab_readout,variant_label,high,Business-facing label describing the experiment treatment or control variant.
agg_ab_readout,is_control,high,Indicates whether the variant is the experiment control or baseline group.
agg_ab_readout,variant_role,medium,"Classifies the variant's experimental role, such as control, treatment, or holdout."
agg_ab_readout,experiment_status,high,"Current lifecycle state of the experiment, such as draft, running, or completed."
agg_ab_readout,experiment_outcome,medium,Recorded business or statistical outcome of the experiment.
agg_ab_readout,is_shipped_variant,high,Indicates whether this variant has been selected for production rollout.
agg_ab_readout,primary_metric,high,Metric designated as the principal success measure for the experiment.
agg_ab_readout,experiment_day_index,high,Sequential day number since the experiment began or exposure measurement started.
agg_ab_readout,exposed_users_today,high,Number of distinct users exposed to this variant on the reporting date.
agg_ab_readout,exposed_users_cumulative,high,Cumulative number of distinct users exposed to this variant through the reporting date.
agg_ab_readout,new_assignments_today,high,Number of users newly assigned to this variant on the reporting date.
agg_ab_readout,expected_share_pct,high,Configured percentage of experiment traffic expected to be assigned to the variant.
agg_ab_readout,actual_share_pct,high,Observed percentage of experiment traffic assigned to the variant.
agg_ab_readout,share_delta_pct,high,Difference between the observed and configured traffic allocation percentages.
agg_ab_readout,chi_square_p_value,high,P-value from a chi-square test evaluating whether observed variant allocation differs from expected allocation.
agg_ab_readout,is_srm_violation,high,Indicates whether a statistically significant sample-ratio mismatch was detected.
agg_ab_readout,sessions_today,high,Total gameplay sessions generated by users assigned to the variant on the reporting date.
agg_ab_readout,playtime_seconds_today,high,Aggregate gameplay time in seconds generated by the variant group on the reporting date.
agg_ab_readout,gameplays_today,medium,Count of gameplay activity instances recorded for the variant group on the reporting date.
agg_ab_readout,sessions_per_exposed_user,high,Average number of sessions per exposed user for the reporting date.
agg_ab_readout,ftue_completions_today,high,Number of users completing the first-time user experience on the reporting date.
agg_ab_readout,iap_revenue_usd_today,high,"Daily in-app purchase revenue generated by the variant group, normalized to U.S. dollars."
